Age,Gender,Marital_Status,Dependents,Employment_Length,Monthly_Income,Annual_Income_Growth,Job_Stability_Index,Monthly_Pension_Contribution,Years_Pension_Savings,Pension_Balance,Withdrawal_Frequency,Pension_Return_Rate,Contribution_Ratio,Contribution_Regularity,Credit_History_Length,Number_of_Loans,Debt_to_Income_Ratio,Credit_Utilization_Rate,Missed_Payments_Last_12M,EMI_to_Income_Ratio,Savings_to_Income_Ratio,Spending_Volatility_Index,Investment_Diversification_Score,Risk_Appetite_Index,Emergency_Fund_Months,Transaction_Consistency_Index,Credit_Risk_Level
63,0,1,0,23,21229.44860816736,0.1446144548855402,0.5679043085357831,2427.187583725426,11,119809.40996832527,5,0.0665326146085861,0.11433116462533287,0.6806957090708998,12,4,0.1432467673240419,0.6211241025147596,3,0.5772940225543362,0.42979891079319893,0.7827054765983545,0.23146309887236705,0.4976313342441795,9,0.6207565294000373,3
53,1,0,3,9,45696.04473428022,0.03973286808316626,0.875502166202069,7445.435013293626,5,404324.6841995559,3,0.06449147616603908,0.16293390503682292,0.7808632002273286,21,4,0.811119277466124,0.10091472388323874,4,0.05369227329772965,0.21374918628807493,0.21454199591271567,0.49151662855464606,0.21795198121664527,1,0.31362256989750337,3
39,1,0,1,6,55436.36786920353,0.020924356464786985,0.8538019555901717,10848.248973662998,3,200012.73417906748,3,0.11135560122048091,0.19568830698393402,0.9556060004505211,18,1,0.41919357784216604,0.9134369574692647,4,0.4725497499611283,0.3260835460829946,0.1099263020761314,0.6306145876986657,0.5367334448811174,2,0.9447459784089489,3
32,1,0,1,2,58152.722619463515,0.07774461949750457,0.9881805733292897,8425.63961109811,11,169759.47917766197,2,0.0745092041875611,0.14488813647184384,0.613240293444214,14,5,0.48363767468493835,0.8502153045995663,5,0.1523729103072895,0.3240748756422371,0.9984244610542151,0.6861322993096355,0.30420425362729964,10,0.5894724344511693,3
45,0,0,4,9,47478.88680071657,0.12081691207276325,0.625649573922652,7299.520417498405,4,150238.16423541398,2,0.09657823722664312,0.15374245078947885,0.7372416590506132,1,0,0.1685561516227308,0.2751049418694721,0,0.08552024759825287,0.2918984194566249,0.8173479109431165,0.6384271119462328,0.10403521362521308,6,0.670840193196663,2
63,0,2,4,3,52669.6506778168,0.1178896237920932,0.8157369658473164,10085.508216139657,6,68597.2578579093,5,0.08849254335953516,0.1914861421396788,0.6108403113310492,21,1,0.6540329735966949,0.2622628927963703,1,0.32460622054352767,0.3839291397584382,0.8493308625911355,0.5634123918121148,0.5784328587176183,1,0.9086247117212733,3
43,1,0,2,16,32847.74744572606,0.10755459079192177,0.8997043288918323,4187.534869994201,18,286427.1039822819,2,0.08919376228590964,0.1274831669024859,0.7092122152570886,8,5,0.6696966991059531,0.1331441022116286,4,0.3325732254039238,0.12649352707182993,0.6419596487877746,0.6675765354506896,0.3699243988940838,10,0.7032470789893412,3
47,0,1,2,25,55841.0444088339,0.12489743863286375,0.45486130669378366,5471.583713664696,7,60580.48587981211,2,0.06142058687231623,0.09798498168488959,0.5291116161449045,3,4,0.42693391359247945,0.4415717107393575,2,0.41778457487232157,0.1349102194576197,0.2776393725731339,0.27137767370731897,0.6500004993346765,4,0.35580820264700924,3
35,0,0,4,24,50141.57438654169,0.034498369363321374,0.7343887992581426,9437.027305863514,21,226003.88662895415,2,0.05272035072001251,0.18820763849801395,0.9379852226483165,18,5,0.8111053890921059,0.9866767696881182,2,0.37699077930823066,0.47510173190837157,0.12135349683429801,0.4477005602283122,0.3814810126270224,9,0.8621908276596681,3
35,1,2,3,29,52478.14016958101,0.10127128610403242,0.6833953734780391,3167.0093851776433,24,169667.11769460255,3,0.10968883738748454,0.0603491163166907,0.9891228757441504,21,3,0.13890720059152015,0.18752924281889857,0,0.06718790494451078,0.42793658242170307,0.772095502343287,0.973369818859003,0.7159850865329643,8,0.9411434390990832,2
48,0,2,2,26,46708.3384378014,0.09479510422567096,0.81997890350028,3839.014062098413,4,188728.99463498723,1,0.03221308843812455,0.08219119306096898,0.7839042191634151,23,0,0.3460324155550325,0.6085118340742496,5,0.16241294510107013,0.4183341753040341,0.8300898940919971,0.9654919757442701,0.700103197058448,11,0.8657680280694648,3
60,0,2,3,23,53192.344912263536,0.03148044132635704,0.7867995878323684,5382.517269358363,14,121199.68031558089,0,0.045563302819658334,0.10118969709337666,0.7770369716767597,20,5,0.265481397126623,0.33838832767606836,4,0.443804442143384,0.26739824034373183,0.5329517697242309,0.7039154823351714,0.12250618187609415,0,0.4330708205458246,2
64,1,1,4,4,59519.178794767155,0.06801978988939666,0.8689548275961461,9958.555152067094,28,337684.27197608736,3,0.041950851580584515,0.1673167431695586,0.9779116951758378,2,4,0.6583252546019358,0.8754681939029386,2,0.5683320638094808,0.3054956404577686,0.6597566892936918,0.5994529628767216,0.7196548397989759,7,0.6367709398222616,3
48,0,0,2,14,53831.875367573426,0.12935416070333663,0.5178016332460247,9990.40027202704,8,121880.69066478004,4,0.11544484106888164,0.18558521700778297,0.6966208431310155,9,2,0.26373438801458293,0.5564861605473532,4,0.4713474357592038,0.3312040987867027,0.9806859206057161,0.3841862271142163,0.26465589165954445,7,0.5096301144536215,3
27,0,0,1,7,22656.73113545728,0.14605225256674237,0.4514494741715158,2668.237515054811,20,160899.89386534027,5,0.030452373548582108,0.11776798246411983,0.8105454015414004,22,3,0.6621801921227699,0.8681989785220984,2,0.5920860937950879,0.1822886228376096,0.40372356764669826,0.48814355385225827,0.8386618721857125,7,0.7186376956898672,3
